,Client_ID,Scenario,DataVolume(Samples),FeatureCount,Local_Accuracy(%),Train_Time(s),Latency(ms),C_p,BW,Weights_Path,Label0,Label1,Label2,Label3,Label4,Quality_Factor,Mean_Quality_Factor(%),Reliability_Score
76,77,NonIID,596,43,21.81,3.3517184257507324,3351.7184257507324,0.2983544179359326,2191.8337662337663,/content/drive/MyDrive/mlaas_weights_har/client_77.npz,55,65,150,229,97,"[38.926175236701965, 21.809326112270355, 9.228187799453735, 9.228187799453735, 21.809326112270355]",20.20024061203003,0.6
77,78,NonIID,1542,43,24.41,4.45331597328186,4453.31597328186,0.2245517735547187,3335.399209486166,/content/drive/MyDrive/mlaas_weights_har/client_78.npz,86,372,428,53,603,"[24.40594583749771, 5.6420233100652695, 5.577172338962555, 24.40594583749771, 5.577172338962555]",13.12165193259716,0.6
78,79,NonIID,1598,43,24.41,4.183199405670166,4183.199405670166,0.2390514778340565,1999.6587677725117,/content/drive/MyDrive/mlaas_weights_har/client_79.npz,376,202,565,132,323,"[8.6357943713665, 24.411305785179138, 24.411305785179138, 23.52941185235977, 24.411305785179138]",21.079824715852737,0.4
79,80,NonIID,1595,43,19.14,4.092473983764648,4092.4739837646484,0.2443509730219725,4636.571428571428,/content/drive/MyDrive/mlaas_weights_har/client_80.npz,525,33,291,248,498,"[19.14370507001877, 32.978057861328125, 32.91535973548889, 32.91535973548889, 32.91535973548889]",30.173568427562714,0.8
80,81,NonIID,925,43,19.12,3.516928195953369,3516.928195953369,0.28433904370029933,4512.598930481284,/content/drive/MyDrive/mlaas_weights_har/client_81.npz,285,174,115,219,132,"[19.122937321662903, 19.122937321662903, 19.122937321662903, 19.122937321662903, 30.81081211566925]",21.460512280464172,0.2
81,82,NonIID,1326,43,9.63,3.979142189025879,3979.142189025879,0.2513104464469531,4688.0888888888885,/content/drive/MyDrive/mlaas_weights_har/client_82.npz,182,252,251,239,402,"[18.1749626994133, 13.725490868091583, 9.630805999040604, 9.630805999040604, 9.630805999040604]",12.158574312925339,0.4
82,83,NonIID,1876,43,24.43,4.806100606918335,4806.100606918335,0.2080688861486815,3750.471111111111,/content/drive/MyDrive/mlaas_weights_har/client_83.npz,14,30,795,685,352,"[24.42537397146225, 24.42537397146225, 0.7462686393409967, 0.7462686393409967, 24.42537397146225]",14.953731838613749,0.4
83,84,NonIID,1573,43,9.63,5.039520978927612,5039.520978927612,0.19843155811463564,5022.952380952381,/content/drive/MyDrive/mlaas_weights_har/client_84.npz,239,383,227,14,710,"[0.9535918943583965, 9.630805999040604, 9.630805999040604, 9.630805999040604, 9.630805999040604]",7.895363178104162,0.2
84,85,NonIID,974,43,9.63,4.26060152053833,4260.60152053833,0.2347086427067813,4714.2793296089385,/content/drive/MyDrive/mlaas_weights_har/client_85.npz,258,232,78,64,342,"[7.084188610315323, 26.488706469535828, 9.630805999040604, 26.488706469535828, 26.488706469535828]",19.236222803592682,0.8
85,86,NonIID,784,43,19.12,4.550405979156494,4550.405979156494,0.21976061137854108,4688.0888888888885,/content/drive/MyDrive/mlaas_weights_har/client_86.npz,182,185,89,189,139,"[24.362245202064514, 23.21428507566452, 19.122937321662903, 19.122937321662903, 19.122937321662903]",20.98906844854355,0.4
86,87,NonIID,366,43,9.63,3.1921725273132324,3192.1725273132324,0.3132662760059757,2766.740983606557,/content/drive/MyDrive/mlaas_weights_har/client_87.npz,50,124,27,71,94,"[19.672131538391113, 13.661202788352966, 13.661202788352966, 9.630805999040604, 9.630805999040604]",13.25122982263565,0.6
87,88,NonIID,1211,43,24.43,3.9743387699127197,3974.3387699127197,0.2516141823566693,4372.310880829015,/content/drive/MyDrive/mlaas_weights_har/client_88.npz,114,166,508,344,79,"[24.42537397146225, 24.42537397146225, 24.42537397146225, 24.42537397146225, 24.42537397146225]",24.42537397146225,0.0
88,89,NonIID,671,43,24.43,3.096184015274048,3096.184015274048,0.3229782193392948,4714.2793296089385,/content/drive/MyDrive/mlaas_weights_har/client_89.npz,152,124,138,110,147,"[24.42537397146225, 24.42537397146225, 22.652757167816162, 22.652757167816162, 24.42537397146225]",23.716327250003815,0.4
